id,name,overall elo,auto elo,teleop elo,fuel elo,takeoff elo,gear elo
frc33,Killer Bees,1147.277560025453,1041.5170402662613,1032.5571427391671,1062.8862926979987,1062.343663647224,1032.5571427391671
frc2619,The Charge,1115.2525619554162,1054.5790934734646,1054.7009495856016,1059.3723673725372,1055.311617398285,1054.7009495856016
frc5114,Titanium Tigers,1113.6803224969133,1004.8926126898007,1004.7901969514002,1040.3973641567632,1012.2962144142945,1004.7901969514002
frc2509,Tigerbots,1103.2843744246873,1054.718236521084,1054.8184220754727,1002.2298295833282,1045.0062439392195,1054.712874055993
frc3824,HVA RoHAWKtics,1102.1658027481556,1028.1531128193594,1028.1531128193594,1023.132221131081,1027.8166338781925,1028.1531128193594
frc4216,Blue Ops Robotics,1100.3600151207897,1011.2885263737604,1011.3102923716614,991.9876310968205,1029.6292748891613,1011.5097050055535
frc5920,VIKotics,1096.3372557979028,1047.6627026164117,1036.46797697347,1035.1635770048497,1064.964115276729,1036.5634667349216
frc1595,The Dragons,1096.1610954154746,1034.7871237826566,1026.2030362994396,1080.9573145793033,1035.7537574698047,1026.2087701617697
frc1477,Texas Torque,1090.1895084944795,1022.5743357800993,1022.539672423396,983.3384279380451,1051.0287471096324,1022.539672423396
frc1523,MARS (Mega Awesome Robotic Systems),1088.2249778949267,939.3973282222461,950.8865681360521,1010.422029116237,942.3041473515268,950.8865681360521
frc4327,Q Branch,1086.4045636541682,994.268041292848,994.4324708312687,987.3399530060557,1013.01259029232,994.6348041281731
frc118,Robonauts,1085.5429142103358,993.353083054717,993.2447912594287,1027.0844431014966,1004.9820899114994,993.2447912594287
frc3130,The East Ridge Robotic Ominous RaptorS - the ERRORS,1081.866100714823,1038.1293382019146,1038.0194558523901,992.7794908274817,1028.1886212263873,1038.0120652983069
frc4513,Circuit Breakers,1081.7999801873373,1055.3816288326198,1043.8892773314528,997.6926816532575,1074.1894773942372,1052.105425689641
frc3366,Plowbots,1080.9122267905673,994.5666592651665,994.5837158870858,980.089895872553,1002.9215174435567,994.5837158870858
frc1553,KC Robotics Team,1080.2084012993448,1018.4389189006199,1018.4389189006199,1012.2627663798954,1039.468878779129,1018.4389189006199
frc3875,Red Storm Robotics,1079.924097751527,1017.5259822626251,1017.5611389181286,989.0152666184805,1039.8883637023112,1017.4481793513619
frc386,Team Voltage,1079.181944847545,982.1132837569008,982.4286590902228,1004.2585522331696,992.9342462414329,982.4286590902228
frc3238,Cyborg Ferrets,1079.1650249975978,1054.6651756419947,1054.6655535456143,998.3877771360346,1061.9329377397166,1054.8623151664992
frc2640,HOTBOTZ,1075.9197803086001,1032.5816614354926,1022.620349289805,1010.0266791973513,1032.9216801534233,1022.5127003414863
frc1287,Aluminum Assault,1075.5048893201179,1024.7252883193596,1024.7252883193596,993.5174343753607,1043.7159031652463,1024.7252883193596
frc5086,Cadillac Connectors,1074.7171028162861,1047.0440874238093,1047.2581049503128,1070.4197411702048,1046.7904613840972,1047.2581049503128
frc2059,The Hitchhikers,1073.756923664536,1024.2480516183546,1024.3513376021692,1001.691993865682,1036.0301189124914,1024.2409679594866
frc3653,BOTCATS,1072.5351245177592,1019.5709208546449,1020.2077741719411,1016.6028959059983,1030.5427504563584,1020.2077741719411
frc2609,BeaverworX,1071.1286845294944,1004.363873733686,1004.5982090176997,1009.7366275448287,1027.0355139082453,1004.4839919304109
frc2200,MMRambotics,1070.6795135276457,995.8688615273887,995.9959623103234,990.43630700562,1024.984790565194,995.9928227881214
frc3293,OtterBots,1069.4999670093382,1026.3768227890187,1026.3820569770871,991.1209319702385,1035.5263239244077,1026.3820569770871
frc1319,Flash,1069.3729688040753,1021.7400551259362,1021.7400551259362,1034.0403510675096,1031.3047585292368,1021.7400551259362
frc359,Hawaiian Kids,1069.1218752867135,1043.2740672546033,1043.2740672546033,1075.4042700151206,1052.0219324226975,1043.2740672546033
frc245,Adambots,1067.7497957823998,1030.7234240248065,1030.9650078245575,1029.8453121753946,1038.932418412932,1030.9650078245575
frc2930,Sonic Squirrels,1066.5663209132365,1023.4209934603158,1023.4234975450903,988.5310221482558,1011.9648889904511,1023.4234975450903
frc1876,Beachbotics,1066.502930875271,1018.9104774000018,1018.9104774000018,1040.3349500450827,1020.484403528147,1018.9104774000018
